Brand,Model Name,Year,Price (USD),Mileage (km),Condition,City,Color,Battery (kWh),Range (km),Power (kW),0-100 km/h (s),Seller Type,Charging Type,Date Listed,Source
Toyota,Toyota bZ4X,2025,46266.820337879886,30711.0,Like New,Battambang,Silver,71.4,500,150,7.1,Authorized Dealer,GB-T/CCS2,24-05-2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2025,44827.69432344506,11495.0,New,Phnom Penh,Silver,60/82,430-576,208,6.1,Private,GB-T/CCS2,22-06-2020,Synthetic (New Formula)
AION,AION Y Plus,2025,32267.403966583555,7344.0,New,Phnom Penh,Silver,51.9/63.9,410-510,150,7.8,Authorized Dealer,GB-T/CCS2,2/1/2025,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2024,27175.704410101127,4164.0,New,Phnom Penh,White,42.8,301,120,8.5,Authorized Dealer,GB-T/CCS2,24-07-2024,Synthetic (New Formula)
Kia,Kia EV6,2025,50304.68839480261,14310.0,Excellent,Phnom Penh,White,77.4,484,168,7.1,Authorized Dealer,GB-T/CCS2,5/9/2022,Synthetic (New Formula)
Mercedes,Mercedes EQB,2023,65226.12964183017,10940.0,Fair,Phnom Penh,White,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,11/12/2021,Synthetic (New Formula)
MG,MG ZS EV,2024,30171.23118026954,42372.0,New,Phnom Penh,Silver,50.3/72.6,320-440,115,8.6,Private,GB-T/CCS2,25-04-2020,Synthetic (New Formula)
Toyota,Toyota bZ4X,2024,43386.97044057143,0.0,Like New,Phnom Penh,Blue,71.4,500,150,7.1,Private,GB-T/CCS2,18-09-2025,Synthetic (New Formula)
BYD,BYD Dolphin,2024,26709.345791745873,24771.0,New,Sihanoukville,Black,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,3/4/2023,Synthetic (New Formula)
MG,MG 4 EV,2024,27447.369666528768,30711.0,Like New,Kampot,Black,51/64/77,350-520,125,7.7,Authorized Dealer,GB-T/CCS2,26-05-2025,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2024,43401.878637206086,10080.0,Excellent,Kratie,White,58/72.6,354-488,125,7.4,Dealer,GB-T/CCS2,10/11/2022,Synthetic (New Formula)
AITO,AITO M5,2024,45626.30618072067,16928.0,Good,Kep,White,40,200 PHEV,200,4.8,Dealer,GB-T/CCS2,13-07-2024,Synthetic (New Formula)
Nissan,Nissan Leaf,2021,32140.777519579893,29551.0,Excellent,Siem Reap,Silver,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,13-08-2024,Synthetic (New Formula)
BYD,BYD Atto 3,2024,28899.546364534952,0.0,Excellent,Phnom Penh,Orange,50/60.5,340-420,150,7.3,Private,GB-T/CCS2,21-04-2025,Synthetic (New Formula)
Kia,Kia EV6,2022,53350.826041209766,21014.0,Excellent,Phnom Penh,Grey,77.4,484,168,7.1,Authorized Dealer,GB-T/CCS2,19-03-2022,Synthetic (New Formula)
VinFast,VinFast VF 8,2025,42785.7393845433,9735.0,New,Phnom Penh,Black,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,2/10/2024,Synthetic (New Formula)
AION,AION Y Plus,2024,34864.82402934245,20482.0,Good,Phnom Penh,Silver,51.9/63.9,410-510,150,7.8,Dealer,GB-T/CCS2,2/7/2025,Synthetic (New Formula)
VinFast,VinFast VF 8,2022,47998.848618094155,29636.0,New,Kratie,White,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,12/5/2023,Synthetic (New Formula)
BYD,BYD Seal,2021,38868.761279942,9900.0,Excellent,Sihanoukville,Grey,61.4/82.5,400-550,150,3.8,Private,GB-T/CCS2,18-02-2025,Synthetic (New Formula)
Denza,Denza D9,2022,89232.78520242976,26102.0,Excellent,Siem Reap,White,103,600,230,6.9,Authorized Dealer,GB-T/CCS2,8/1/2023,Synthetic (New Formula)
Avatr,Avatr 07,2024,49607.92084207493,33528.0,New,Phnom Penh,Cosmos Black,62.2/100.5,420-621,190,4.9,Dealer,GB-T/CCS2,2/6/2024,Synthetic (New Formula)
Zeekr,Zeekr X,2023,55241.17959270708,30008.0,Excellent,Siem Reap,Blue,66,440,200,5.6,Authorized Dealer,GB-T/CCS2,13-08-2024,Synthetic (New Formula)
Mercedes,Mercedes EQB,2022,66118.91255210228,10630.0,Excellent,Sihanoukville,White,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,2/11/2022,Synthetic (New Formula)
BYD,BYD Seagull,2025,20458.72493751574,38480.0,New,Siem Reap,White,30/38.88,190-305,55,,Private,GB-T/CCS2,23-02-2024,Synthetic (New Formula)
Tesla,Tesla Model 3,2023,47421.46128450232,17136.0,Like New,Kampot,Grey,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,27-04-2024,Synthetic (New Formula)
BYD,BYD Seal,2025,35646.39848371239,11648.0,Like New,Phnom Penh,Grey,61.4/82.5,400-550,150,3.8,Private,GB-T/CCS2,13-06-2022,Synthetic (New Formula)
AION,AION Y Plus,2024,34300.77490744898,0.0,Excellent,Phnom Penh,Black,51.9/63.9,410-510,150,7.8,Dealer,GB-T/CCS2,17-10-2024,Synthetic (New Formula)
AITO,AITO M5,2023,45701.349589322715,9900.0,New,Kep,White,40,200 PHEV,200,4.8,Dealer,GB-T/CCS2,13-07-2024,Synthetic (New Formula)
BYD,BYD Atto 3,2024,31448.454257926776,20540.0,Like New,Battambang,Green,50/60.5,340-420,150,7.3,Private,GB-T/CCS2,3/6/2022,Synthetic (New Formula)
AITO,AITO M5,2022,44718.61157422155,4170.0,Like New,Battambang,Grey,40,200 PHEV,200,4.8,Private,GB-T/CCS2,2/1/2025,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2024,28285.961893316817,33694.0,New,Phnom Penh,Black,42.8,301,120,8.5,Dealer,GB-T/CCS2,5/4/2024,Synthetic (New Formula)
BYD,BYD Atto 2,2025,23815.34468255229,18080.0,Excellent,Phnom Penh,Black,45.1,312-401,130,7.9,Authorized Dealer,GB-T/CCS2,15-03-2024,Synthetic (New Formula)
Toyota,Toyota bZ4X,2023,47611.991860679744,14235.0,Like New,Phnom Penh,Black,71.4,500,150,7.1,Dealer,GB-T/CCS2,23-08-2023,Synthetic (New Formula)
AITO,AITO M7,2024,60639.5590074252,19152.0,Like New,Phnom Penh,Grey,40,200 PHEV,330,4.8,Dealer,GB-T/CCS2,18-04-2024,Synthetic (New Formula)
AION,AION V,2024,41101.29325525519,17323.0,New,Phnom Penh,Black,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,28-12-2024,Synthetic (New Formula)
MG,MG 4 EV,2024,27595.17097225494,44820.0,Excellent,Phnom Penh,Grey,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,26-01-2024,Synthetic (New Formula)
Tesla,Tesla Model 3,2022,48902.01450971474,20328.0,Excellent,Koh Kong,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,3/5/2023,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2025,44744.2075839216,25146.0,Fair,Phnom Penh,Grey,58/72.6,354-488,125,7.4,Authorized Dealer,GB-T/CCS2,3/12/2021,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2020,50558.705724685075,45360.0,New,Siem Reap,Black,58/72.6,354-488,125,7.4,Private,GB-T/CCS2,5/2/2022,Synthetic (New Formula)
Avatr,Avatr 07,2021,51749.20664850626,41750.0,New,Sihanoukville,Black,62.2/100.5,420-621,190,4.9,Private,GB-T/CCS2,25-09-2024,Synthetic (New Formula)
Avatr,Avatr 12,2021,67650.33886107105,26680.0,New,Kampong Cham,White,94.5,650,230,3.9,Dealer,GB-T/CCS2,3/4/2025,Synthetic (New Formula)
Kia,Kia EV6,2022,49677.49568775643,8073.0,Excellent,Phnom Penh,Blue,77.4,484,168,7.1,Private,GB-T/CCS2,3/7/2024,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2023,60836.89769866302,48256.0,Fair,Phnom Penh,Silver,53/77.4,429-614,151,8.1,Authorized Dealer,GB-T/CCS2,21-01-2025,Synthetic (New Formula)
VinFast,VinFast VF 8,2025,47197.34709737718,56880.0,Good,Phnom Penh,White,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,15-12-2022,Synthetic (New Formula)
BYD,BYD Han,2025,62730.4684908851,28730.0,New,Kep,White,76.9/85.4,500-610,180,3.9,Authorized Dealer,GB-T/CCS2,23-05-2023,Synthetic (New Formula)
Tesla,Tesla Model Y,2025,56378.62688131418,6228.0,New,Phnom Penh,White,60/75/82,430-600,220,6.9,Private,GB-T/CCS2,14-05-2022,Synthetic (New Formula)
MG,MG 5,2025,22607.738118155787,32310.0,Good,Phnom Penh,Black,61.1,403,130,7.7,Dealer,GB-T/CCS2,16-09-2025,Synthetic (New Formula)
AITO,AITO M5,2024,46181.15827416943,10790.0,Excellent,Phnom Penh,Red,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,2/9/2022,Synthetic (New Formula)
BMW,BMW iX1,2024,62026.36333927514,52118.0,Like New,Siem Reap,Black,64.7,417,150,8.6,Authorized Dealer,GB-T/CCS2,14-05-2023,Synthetic (New Formula)
BYD,BYD Seagull,2025,20763.780798629825,38484.0,Excellent,Kampong Cham,Red,30/38.88,190-305,55,,Dealer,GB-T/CCS2,4/7/2025,Synthetic (New Formula)
MG,MG 4 EV,2024,25992.869789832203,26675.0,New,Battambang,Black,51/64/77,350-520,125,7.7,Private,GB-T/CCS2,13-11-2022,Synthetic (New Formula)
BYD,BYD Atto 3,2025,29091.85975385611,20016.0,New,Battambang,Red,50/60.5,340-420,150,7.3,Dealer,GB-T/CCS2,25-07-2025,Synthetic (New Formula)
BYD,BYD Tang,2024,66154.20468698542,33528.0,New,Sihanoukville,Silver,86.4/108.8,400-530,180,4.6,Authorized Dealer,GB-T/CCS2,5/5/2021,Synthetic (New Formula)
XPeng,XPeng G6,2025,41813.77914038247,1185.0,New,Battambang,Red,66/87.5,435-570,190,6.2,Private,GB-T/CCS2,25-03-2023,Synthetic (New Formula)
VinFast,VinFast VF 8,2021,45266.9419479422,1183.0,New,Phnom Penh,White,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,17-04-2024,Synthetic (New Formula)
BYD,BYD M9,2024,69871.57567195414,63056.0,New,Phnom Penh,Blue,52,180 PHEV,180,,Authorized Dealer,GB-T/CCS2,11/4/2025,Synthetic (New Formula)
Toyota,Toyota bZ4X,2025,46251.19708209478,22960.0,New,Phnom Penh,Grey,71.4,500,150,7.1,Dealer,GB-T/CCS2,23-06-2022,Synthetic (New Formula)
BYD,BYD Tang,2024,66378.96484126289,25564.0,Excellent,Phnom Penh,Black,86.4/108.8,400-530,180,4.6,Authorized Dealer,GB-T/CCS2,23-10-2020,Synthetic (New Formula)
MG,MG ZS EV,2025,29071.390377904234,25048.0,Good,Phnom Penh,Silver,50.3/72.6,320-440,115,8.6,Dealer,GB-T/CCS2,10/4/2022,Synthetic (New Formula)
BMW,BMW iX1,2022,59875.26236481439,8832.0,Like New,Siem Reap,Grey,64.7,417,150,8.6,Dealer,GB-T/CCS2,19-10-2024,Synthetic (New Formula)
AITO,AITO M5,2025,43389.05655837384,0.0,Like New,Battambang,Grey,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,10/7/2025,Synthetic (New Formula)
Zeekr,Zeekr 001,2023,73101.00788571709,8992.0,Excellent,Phnom Penh,Blue,86/100,560-620,200,3.3,Dealer,GB-T/CCS2,16-10-2024,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2021,59113.62502712341,27412.0,Good,Phnom Penh,White,53/77.4,429-614,151,8.1,Dealer,GB-T/CCS2,3/5/2023,Synthetic (New Formula)
AITO,AITO M5,2024,46685.280599010475,39558.0,Like New,Battambang,White,40,200 PHEV,200,4.8,Private,GB-T/CCS2,24-06-2022,Synthetic (New Formula)
BMW,BMW iX1,2024,56377.43057896632,25029.0,New,Phnom Penh,Black,64.7,417,150,8.6,Authorized Dealer,GB-T/CCS2,23-08-2022,Synthetic (New Formula)
Kia,Kia EV5,2021,37510.08071296735,14310.0,Excellent,Preah Vihear,Grey,64.2/88,400-600,160,7.5,Dealer,GB-T/CCS2,12/3/2023,Synthetic (New Formula)
BYD,BYD Seagull,2023,19250.92327740211,8030.0,Like New,Kampong Cham,Red,30/38.88,190-305,55,,Dealer,GB-T/CCS2,4/7/2025,Synthetic (New Formula)
BYD,BYD Dolphin,2024,25549.942542420125,7928.0,Like New,Phnom Penh,White,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,12/2/2025,Synthetic (New Formula)
MG,MG ZS EV,2022,33828.57790694121,72513.0,Excellent,Siem Reap,Grey,50.3/72.6,320-440,115,8.6,Private,GB-T/CCS2,5/5/2021,Synthetic (New Formula)
Tesla,Tesla Model 3,2021,54290.93977834189,51168.0,New,Phnom Penh,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,1/2/2023,Synthetic (New Formula)
BYD,BYD Seagull,2022,23352.30917712346,41750.0,New,Phnom Penh,Grey,30/38.88,190-305,55,,Authorized Dealer,GB-T/CCS2,12/9/2023,Synthetic (New Formula)
BYD,BYD Han,2022,66790.80579603737,44820.0,Excellent,Phnom Penh,Black,76.9/85.4,500-610,180,3.9,Private,GB-T/CCS2,2/2/2022,Synthetic (New Formula)
Mercedes,Mercedes EQB,2021,74558.00618786093,35598.0,New,Phnom Penh,Black,66.5,419,168,8.0,Private,GB-T/CCS2,5/6/2021,Synthetic (New Formula)
AITO,AITO M7,2023,59968.64605844625,28560.0,Good,Kampong Cham,White,40,200 PHEV,330,4.8,Dealer,GB-T/CCS2,1/7/2025,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2020,14125.604316170318,14235.0,Fair,Siem Reap,Grey,41.3,403,80,,Authorized Dealer,GB-T/CCS2,1/8/2022,Synthetic (New Formula)
BYD,BYD Sealion 6,2023,43606.292168732914,0.0,Like New,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,Authorized Dealer,GB-T/CCS2,7/2/2024,Synthetic (New Formula)
AION,AION ES,2025,30601.66815894983,29551.0,Like New,Sihanoukville,Blue,55.6,410,150,7.5,Authorized Dealer,GB-T/CCS2,8/6/2024,Synthetic (New Formula)
Avatr,Avatr 12,2022,70395.39630095272,28106.0,New,Kampong Cham,White,94.5,650,230,3.9,Dealer,GB-T/CCS2,3/4/2025,Synthetic (New Formula)
BYD,BYD Atto 3,2022,33049.107566443236,56880.0,New,Sihanoukville,White,50/60.5,340-420,150,7.3,Dealer,GB-T/CCS2,26-01-2023,Synthetic (New Formula)
Tesla,Tesla Model Y,2022,61064.674705040845,3444.0,New,Phnom Penh,Blue,60/75/82,430-600,220,6.9,Private,GB-T/CCS2,17-08-2022,Synthetic (New Formula)
Mercedes,Mercedes EQB,2024,64707.002696157666,11984.0,Excellent,Phnom Penh,Black,66.5,419,168,8.0,Private,GB-T/CCS2,5/6/2021,Synthetic (New Formula)
AITO,AITO M7,2022,62318.85703260204,31528.0,Fair,Battambang,Grey,40,200 PHEV,330,4.8,Dealer,GB-T/CCS2,16-04-2023,Synthetic (New Formula)
AITO,AITO M7,2024,57879.95706497753,26102.0,Excellent,Phnom Penh,White,40,200 PHEV,330,4.8,Authorized Dealer,GB-T/CCS2,5/2/2022,Synthetic (New Formula)
Tesla,Tesla Model 3,2022,48364.668707387114,7928.0,New,Kep,Black,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,23-07-2024,Synthetic (New Formula)
BYD,BYD Atto 3,2024,30534.218727897325,33012.0,Like New,Battambang,Red,50/60.5,340-420,150,7.3,Dealer,GB-T/CCS2,25-07-2025,Synthetic (New Formula)
AION,AION V,2020,42293.11704927622,1183.0,Excellent,Phnom Penh,Silver,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,7/6/2024,Synthetic (New Formula)
Avatr,Avatr 12,2023,73869.21756336301,63056.0,Like New,Phnom Penh,White,94.5,650,230,3.9,Authorized Dealer,GB-T/CCS2,1/1/2025,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2024,15193.450797164434,57869.0,Like New,Sihanoukville,Blue,41.3,403,80,,Dealer,GB-T/CCS2,4/11/2022,Synthetic (New Formula)
Kia,Kia EV5,2025,34837.18569780587,11495.0,Like New,Phnom Penh,White,64.2/88,400-600,160,7.5,Dealer,GB-T/CCS2,17-07-2025,Synthetic (New Formula)
AION,AION Y Plus,2024,34094.04384943103,24465.0,Excellent,Phnom Penh,Black,51.9/63.9,410-510,150,7.8,Private,GB-T/CCS2,4/4/2025,Synthetic (New Formula)
BYD,BYD Sealion 6,2023,44929.29860106767,0.0,Good,Phnom Penh,White,18.3,80-100 PHEV,145,8.5,Dealer,GB-T/CCS2,10/6/2023,Synthetic (New Formula)
Toyota,Toyota bZ4X,2024,47418.25033099706,24465.0,Fair,Phnom Penh,Blue,71.4,500,150,7.1,Private,GB-T/CCS2,18-09-2025,Synthetic (New Formula)
AITO,AITO M7,2025,63364.53284508884,40788.0,Good,Kampong Cham,White,40,200 PHEV,330,4.8,Dealer,GB-T/CCS2,1/7/2025,Synthetic (New Formula)
Kia,Kia EV5,2024,37295.28103528052,11605.0,New,Preah Vihear,Grey,64.2/88,400-600,160,7.5,Dealer,GB-T/CCS2,12/3/2023,Synthetic (New Formula)
MG,MG 5,2025,22858.657740947034,31590.0,New,Kep,Red,61.1,403,130,7.7,Dealer,GB-T/CCS2,23-09-2020,Synthetic (New Formula)
Deepal,Deepal S07,2023,56463.02325840513,17594.0,Like New,Phnom Penh,White,31.6/80,200 PHEV,190,6.7,Dealer,GB-T/CCS2,24-09-2024,Synthetic (New Formula)
BYD,BYD Seagull,2023,20819.825988898992,36686.0,New,Phnom Penh,White,30/38.88,190-305,55,,Dealer,GB-T/CCS2,11/5/2024,Synthetic (New Formula)
XPeng,XPeng G6,2022,46325.79014772336,7455.0,New,Kampot,Red,66/87.5,435-570,190,6.2,Private,GB-T/CCS2,3/1/2024,Synthetic (New Formula)
MG,MG 4 EV,2024,24481.951349723982,7288.0,New,Siem Reap,Silver,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,15-07-2023,Synthetic (New Formula)
Kia,Kia EV6,2024,47126.45441901319,0.0,Like New,Phnom Penh,Black,77.4,484,168,7.1,Dealer,GB-T/CCS2,20-06-2022,Synthetic (New Formula)
BYD,BYD Seal,2023,37556.628639238086,35598.0,Excellent,Phnom Penh,Cosmos Black,61.4/82.5,400-550,150,3.8,Private,GB-T/CCS2,8/8/2023,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2021,14661.345111892293,29682.0,Fair,Phnom Penh,Blue,41.3,403,80,,Dealer,GB-T/CCS2,19-08-2023,Synthetic (New Formula)
AION,AION V,2025,38028.66166168897,5316.0,Like New,Phnom Penh,Black,68.8/80,480-610,165,7.1,Private,GB-T/CCS2,15-02-2025,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2022,12682.417452932945,1766.0,Like New,Siem Reap,Grey,41.3,403,80,,Authorized Dealer,GB-T/CCS2,1/8/2022,Synthetic (New Formula)
BYD,BYD Dolphin,2025,27186.042650990705,56524.0,New,Phnom Penh,White,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,12/2/2025,Synthetic (New Formula)
AION,AION V,2022,40380.98535937794,0.0,Excellent,Phnom Penh,Black,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,28-12-2024,Synthetic (New Formula)
VinFast,VinFast VF 8,2023,43910.80117837669,1766.0,Like New,Kratie,White,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,12/5/2023,Synthetic (New Formula)
VinFast,VinFast VF 6,2025,30700.081922991405,72513.0,Good,Sihanoukville,Black,59.6,399,110,,Private,GB-T/CCS2,21-11-2024,Synthetic (New Formula)
Mercedes,Mercedes EQB,2023,68446.04250117004,0.0,New,Kampot,Cosmos Black,66.5,419,168,8.0,Dealer,GB-T/CCS2,16-02-2022,Synthetic (New Formula)
VinFast,VinFast VF 8,2025,42349.117691382104,13024.0,New,Kampong Cham,Blue,82/87.5,420-500,150,5.5,Dealer,GB-T/CCS2,12/5/2025,Synthetic (New Formula)
Toyota,Toyota bZ4X,2025,46105.7028273143,34545.0,New,Phnom Penh,Black,71.4,500,150,7.1,Authorized Dealer,GB-T/CCS2,11/9/2022,Synthetic (New Formula)
Kia,Kia EV5,2023,35275.02115113755,15330.0,New,Preah Vihear,Grey,64.2/88,400-600,160,7.5,Dealer,GB-T/CCS2,12/3/2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2023,49490.41896284502,25564.0,Excellent,Phnom Penh,Silver,60/82,430-576,208,6.1,Private,GB-T/CCS2,22-06-2020,Synthetic (New Formula)
Tesla,Tesla Model Y,2021,60865.969346307334,5745.0,New,Phnom Penh,Green,60/75/82,430-600,220,6.9,Authorized Dealer,GB-T/CCS2,14-05-2024,Synthetic (New Formula)
AITO,AITO M5,2025,46068.88015777042,28210.0,New,Battambang,White,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,11/11/2023,Synthetic (New Formula)
Denza,Denza D9,2023,87998.81097393249,38760.0,Excellent,Phnom Penh,Pearl White,103,600,230,6.9,Authorized Dealer,GB-T/CCS2,16-08-2025,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2025,41787.39498810861,10790.0,Like New,Phnom Penh,Blue,58/72.6,354-488,125,7.4,Authorized Dealer,GB-T/CCS2,9/2/2025,Synthetic (New Formula)
Kia,Kia EV9,2025,86800.40963882911,55016.0,Excellent,Phnom Penh,Black,99.8,541,283,5.3,Dealer,GB-T/CCS2,15-09-2023,Synthetic (New Formula)
VinFast,VinFast VF 9,2024,68995.2118142759,26130.0,Excellent,Siem Reap,Black,123,438,300,6.5,Private,GB-T/CCS2,21-07-2024,Synthetic (New Formula)
